food_name,meal,campus,date,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,cholesterol
Fresh Fruit and Yogurt Parfait Assorted Nuts,Dinner,altoona-port-sky,2025-09-07,269.0,12.0,9.2,4.0,37.3,2.6,31.9,110.7,18.3
Rice,Dinner,altoona-port-sky,2025-09-07,91.0,2.1,0.0,0.0,19.8,0.0,0.0,111.5,0.0
Bourbon Chicken,Dinner,altoona-port-sky,2025-09-07,181.0,20.5,1.3,0.4,17.4,0.2,15.0,767.1,51.6
Broccoli Casserole,Dinner,altoona-port-sky,2025-09-07,5977.0,241.0,470.8,246.1,247.4,82.7,92.7,18213.1,907.2
Carved Beef Brisket with Texas BBQ Sauce,Dinner,altoona-port-sky,2025-09-07,180.0,24.9,5.3,2.1,6.9,0.4,5.5,560.6,75.1
Corn Muffin,Dinner,altoona-port-sky,2025-09-07,182.0,3.8,5.7,0.6,29.3,0.7,11.9,297.7,23.0
Ranch Lattice Fries,Dinner,altoona-port-sky,2025-09-07,240.0,3.2,12.2,2.3,32.1,1.8,0.0,1510.5,0.0
Texas Style Baked Beans,Dinner,altoona-port-sky,2025-09-07,162.0,6.1,3.9,1.6,24.8,0.2,12.4,833.9,12.6
Beef Hot Dog's,Dinner,altoona-port-sky,2025-09-07,624.0,22.2,34.4,12.2,54.1,2.0,10.0,1432.3,60.8
Black Bean Burger & Ranch Snack Wrap,Dinner,altoona-port-sky,2025-09-07,792.0,30.2,53.3,14.1,49.7,5.9,4.3,1633.7,84.7
