food_name,meal,campus,date,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,cholesterol
Fresh Fruit and Yogurt Parfait Assorted Nuts,Lunch,altoona-port-sky,2025-09-07,269.0,12.0,9.2,4.0,37.3,2.6,31.9,110.7,18.3
Rice,Lunch,altoona-port-sky,2025-09-07,91.0,2.1,0.0,0.0,19.8,0.0,0.0,111.5,0.0
Bananas,Lunch,altoona-port-sky,2025-09-07,107.0,1.3,0.4,0.1,27.5,3.1,14.7,1.2,0.0
Belgian Waffle,Lunch,altoona-port-sky,2025-09-07,558.0,7.1,15.7,8.7,94.0,1.4,21.7,1351.1,44.4
Blueberry Bagels,Lunch,altoona-port-sky,2025-09-07,280.0,9.0,1.0,0.0,58.0,2.0,8.0,540.0,0.0
Butter PC,Lunch,altoona-port-sky,2025-09-07,51.0,0.1,5.7,3.6,0.0,0.0,0.0,45.5,15.2
Cinnamon Raisin Bagels,Lunch,altoona-port-sky,2025-09-07,290.0,9.0,1.0,0.0,62.0,2.0,10.0,540.0,0.0
Cream Cheese,Lunch,altoona-port-sky,2025-09-07,99.0,1.7,9.8,5.7,1.6,0.0,1.1,89.0,28.6
Everything Bagels,Lunch,altoona-port-sky,2025-09-07,290.0,10.0,1.0,0.0,61.0,2.0,8.0,580.0,0.0
Gluten Free Bread,Lunch,altoona-port-sky,2025-09-07,98.0,1.1,2.2,1.1,19.6,1.1,1.1,218.2,10.9
