food_name,meal,campus,date,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,cholesterol
Barley Pilaf,Dinner,up-west-waring,2025-09-07,103.0,2.5,4.4,0.5,15.5,0.5,0.8,101.2,0.0
Corn,Dinner,up-west-waring,2025-09-07,55.0,1.7,0.5,0.1,13.1,1.6,2.1,9.2,0.0
"Neapolitan Ragu ""Nona's Sunday Gravy""",Dinner,up-west-waring,2025-09-07,416.0,25.5,29.7,10.0,8.1,0.6,3.6,1031.6,83.5
Parma Cod,Dinner,up-west-waring,2025-09-07,375.0,41.9,16.3,10.6,11.7,0.4,0.7,433.2,133.7
Steamed Green Beans,Dinner,up-west-waring,2025-09-07,20.0,1.1,0.1,0.0,4.7,2.2,1.4,15.2,0.0
Ziti Pasta,Dinner,up-west-waring,2025-09-07,203.0,7.1,1.0,0.0,42.5,2.0,2.0,13.6,0.0
Cheese Pizza,Dinner,up-west-waring,2025-09-07,164.0,8.3,6.2,3.5,19.1,1.0,1.2,313.2,16.7
Homemade Tomato & Basil Sauce,Dinner,up-west-waring,2025-09-07,35.0,1.5,0.4,0.1,6.3,0.7,3.5,163.9,0.0
Pepperoni  Pizza,Dinner,up-west-waring,2025-09-07,182.0,9.0,7.9,4.1,19.1,1.0,1.2,369.3,20.1
Basmati Rice,Dinner,up-west-waring,2025-09-07,122.0,2.2,2.4,0.2,22.5,0.4,0.2,138.6,0.0
Channa Masala,Dinner,up-west-waring,2025-09-07,86.0,3.4,2.5,0.1,13.5,3.4,2.6,401.2,0.0
Hamburger Roll 100% Whole Wheat,Dinner,up-west-waring,2025-09-07,140.0,6.0,2.0,0.5,26.0,4.0,3.0,210.0,0.0
Vegan Gardein Meatballs in Sauce,Dinner,up-west-waring,2025-09-07,187.0,14.9,7.8,0.5,16.1,3.6,3.2,722.1,0.0
Veggie Burger Patty,Dinner,up-west-waring,2025-09-07,170.0,7.0,6.0,0.0,21.0,5.0,2.0,310.0,0.0
New York Cheesecake Square,Dinner,up-west-waring,2025-09-07,275.0,4.6,20.1,10.0,19.1,0.4,11.9,231.0,68.5
Fried State Chik'n Sandwich,Dinner,up-west-waring,2025-09-07,1988.0,33.9,160.3,23.2,119.0,6.4,25.6,2607.8,130.8
Harvest Apple Salad,Dinner,up-west-waring,2025-09-07,268.0,10.1,10.8,7.1,36.7,4.8,29.4,128.5,29.8
Incogmeato Chik'n Tender Combo,Dinner,up-west-waring,2025-09-07,940.0,44.9,47.4,11.8,89.4,9.9,7.7,2508.7,12.2
Large Chicken Tender Combo,Dinner,up-west-waring,2025-09-07,1339.0,64.6,68.5,16.2,118.9,5.6,12.4,2750.9,246.5
Peach Cobbler,Dinner,up-west-waring,2025-09-07,405.0,4.0,4.0,1.3,95.0,3.0,68.0,290.0,8.0
Small Chicken Tender Combo,Dinner,up-west-waring,2025-09-07,931.0,35.3,51.2,13.3,86.2,4.8,10.1,2018.0,129.3
State Chik'n BBQ Ranch Macaroni & Cheese Bowl,Dinner,up-west-waring,2025-09-07,372.0,14.3,22.3,10.3,32.7,2.0,8.0,753.6,49.8
State Chik'n Bruschetta Macaroni & Cheese Bowl,Dinner,up-west-waring,2025-09-07,377.0,11.8,16.4,7.5,45.8,4.0,3.0,579.2,28.6
State Chik'n Caesar Salad,Dinner,up-west-waring,2025-09-07,210.0,9.8,9.4,4.0,22.2,3.8,2.7,557.8,12.2
State Chik'n Cobb Salad,Dinner,up-west-waring,2025-09-07,142.0,8.4,9.8,4.2,5.3,2.8,2.0,311.4,96.9
State Chik'n Macaroni & Cheese Bowl,Dinner,up-west-waring,2025-09-07,259.0,12.3,12.7,7.2,25.6,2.0,2.1,459.2,43.3
