food_name,meal,campus,serving_size,calories,calories_from_fat,total_fat_g,total_fat_dv,saturated_fat_g,saturated_fat_dv,trans_fat_g,cholesterol_mg,sodium_mg,sodium_dv,total_carb_g,total_carb_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,added_sugars_g,protein_g,protein_dv,vitamin_d_mcg,calcium_mg,iron_mg,potassium_mg,ingredients,extraction_timestamp,url
"Lunch for Monday, September 8, 2025Nutrition ▸",Breakfast,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ing items,2025-09-08T12:32:23.339452,https://www.absecom.psu.edu/MENUS/user-pages/daily-menu.cfm
Dietary Filters,Breakfast,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Does Not Contain,2025-09-08T12:32:23.723135,https://www.absecom.psu.edu/menus/user-pages/dietary-filters.cfm
Sign in to your account,Breakfast,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-09-08T12:32:24.373008,https://www.absecom.psu.edu/DIETARY_REQUESTS/USER_PAGES/custom-food-order-win.cfm
Fresh Fruit and Yogurt Parfait Assorted Nuts,Breakfast,altoona-port-sky,"1 SERVG
Calories: 269
Calories from Fat: 83
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",269,83,9.2,0.0,4.0,0.0,0.0,18.3,110.7,0.0,37.3,0.0,2.6,0.0,0.0,31.9,12.0,0.0,247.8,0.0,1.0,0.0,"Fresh Fruit Yogurt Parfait Assorted Nuts (Vanilla Greek Yogurt (Vanilla Chobani Yogurt (cultured nonfat milk, cane sugar, water, fruit pectin, natural flavors, guar gum, locust bean gum, vanilla extract, lemon juice concentrate)), Plain Yogurt (Vegetarian Plain Yogurt (cultured skim milk, cream, pectin, sugar)), Strawberry Yogurt (Strawberry Yogurt (cultured skim milk, cream, stabilized sliced strawberries (sliced strawberries, sugar, natural flavors, pectin, citric acid), strawberry variegate (strawberry puree, sugar, pectin, fruit juice color, beet juice concentrate, lemon juice concentrate, natural flavor), sugar, pectin)), Mandarin Oranges (Mandarin Oranges (mandarin oranges, water, sugar)), Pineapple Chunks (Pineapple), Fresh Strawberries (Strawberries), Apple Slices (Apple Slices), Raspberries, Pumpkin Seed (shelled pumpkin seeds, hi-oleic canola oil), Dried Apricots (apricot, sulfite.), Pecans, Coconut (coconut, sugar, water, propylene glycol, salt, sodium metabisulfite), Granol",2025-09-08T12:32:24.527222,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788968
Bananas,Breakfast,altoona-port-sky,"1 SERVG
Calories: 107
Calories from Fat: 4
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",107,4,0.4,0.0,0.1,0.0,0.0,0.0,1.2,0.0,27.5,0.0,3.1,0.0,0.0,14.7,1.3,0.0,6.0,0.0,0.3,0.0,Bananas (Banana),2025-09-08T12:32:24.713320,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788987
Belgian Waffle,Breakfast,altoona-port-sky,"1 SERVG
Calories: 558
Calories from Fat: 141
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",558,141,15.7,0.0,8.7,0.0,0.5,44.4,1351.1,0.0,94.0,0.0,1.4,0.0,0.0,21.7,7.1,0.0,146.1,0.0,1.5,0.0,"Belgian Waffle (Water, Waffle Mix (Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Monocitrate, Riboflavin, Folic Acid), Sugar, Soybean Oil, Sodium Bicarbonate, Monocalcium Phosphate, Natural and Artifical Flavors(Dextrose, Maltodextrin, Starch, Silicon Dioxide), Salt, Yellow Corn Flour, Buttermilk Solids, Malted Barley Extract.)), Maple Flavored Syrup (Syrup (corn syrup, water, high fructose corn syrup, salt, sugar, caramel color, natural and artificial flavor)), Butter PC (Butter (butter, salt))",2025-09-08T12:32:24.895595,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788970
Blueberry Bagels,Breakfast,altoona-port-sky,"1 SERVG
Calories: 280
Calories from Fat: 9
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",280,9,1.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,58.0,0.0,2.0,0.0,0.0,8.0,9.0,0.0,60.0,0.0,3.6,0.0,"Blueberry Bagels (Blueberry Bagel (Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, fresh blueberries, brown sugar, salt, molasses, baker’s dry active yeast, wheat starch, dextrose, vinegar, citric acid, natural dried blueberries, corn protein, blueberry bits, degerminated yellow corn meal, dough improver blend (wheat flour, salt, sodium stearoyl lactylate, soybean oil, xylanase, amylase, ascorbic acid, l-cysteine), natural and artificial blueberry flavor, mono-and diglycerides, calcium propionate. ))",2025-09-08T12:32:25.053486,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113789061
Butter PC,Breakfast,altoona-port-sky,"1 SERVG
Calories: 51
Calories from Fat: 52
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",51,52,5.7,0.0,3.6,0.0,0.2,15.2,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.7,0.0,0.0,0.0,"Butter PC (Butter (butter, salt))",2025-09-08T12:32:25.233137,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788972
Cinnamon Raisin Bagels,Breakfast,altoona-port-sky,"1 SERVG
Calories: 290
Calories from Fat: 9
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",290,9,1.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,62.0,0.0,2.0,0.0,0.0,10.0,9.0,0.0,100.0,0.0,5.4,0.0,"Cinnamon Raisin Bagels (Cinnamon Raisin Bagel (Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, brown sugar, raisins seedless, salt, molasses, spices, cinnamon, ground, caramel syrup, active dry yeast, sugar, wheat gluten, caramel color, vinegar, ascorbic acid, sunflower oil, canola oil, corn protein, degerminated yellow corn meal, dough improver blend (wheat flour, salt, sodium stearoyl lactylate, soybean oil, xylanase, amylase, ascorbic acid, l-cysteine), mono-and diglycerides, calcium propionate.))",2025-09-08T12:32:25.408684,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113789065
Cream Cheese,Breakfast,altoona-port-sky,"1 SERVG
Calories: 99
Calories from Fat: 88
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",99,88,9.8,0.0,5.7,0.0,0.3,28.6,89.0,0.0,1.6,0.0,0.0,0.0,0.0,1.1,1.7,0.0,27.5,0.0,0.0,0.0,"Cream Cheese (Cream Cheese (pasteurized milk and cream, whey protein concentrate, whey, salt, carob bean gum, natamycin (a natural mold inhibitor), vitamin A palmitate, cheese culture))",2025-09-08T12:32:25.567779,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788974
